Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
A reporting and analysis framework for structured evaluation of COVID-19 clinical and imaging data.;33846548;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Feasibility and accuracy of linking a heart failure registry to the national claims database using indirect identifiers.;36549971;No (excluded before screening);Outside the search period;2023;;;;;;
Ethnic inequalities in mental and physical multimorbidity in women of reproductive age: a data linkage cohort study.;35840295;Yes;n/a;2022;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Quantifying the Value of Multigene Testing in Resected Early Stage Lung Adenocarcinoma.;36494074;No (excluded before screening);Outside the search period;2023;;;;;;
Adoption and Deadoption of Medications to Treat Hospitalized Patients With COVID-19.;35923589;Yes;n/a;2022;22;Yes;US;US;Optum;US
Increased risk for COVID-19 breakthrough infection in fully vaccinated patients with substance use disorders in the United States between December 2020 and August 2021.;34612005;Yes;n/a;2022;22;Yes;US;US;TriNetX;US
Provider Teams Outperform Solo Providers In Managing Chronic Diseases And Could Improve The Value Of Care.;33646870;Yes;n/a;2021;;No;US;US;Athenahealth;US
Creating an e-cohort of individuals with lived experience of homelessness and subsequent mortality in Wales, UK.;34121112;Yes;n/a;2022;;Yes;UK;UK;SAIL Databank;UK
Impact of the temporary suspension of the Bowel Screening Wales programme on inequalities during the COVID-19 pandemic: a retrospective register-based study.;36929968;No (excluded in full-paper screening);Abstract only;2022;;;;;;
Artificial Intelligence in Dermatology: A Threat or an Opportunity?;35249709;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Can AI predict epithelial lesion categories via automated analysis of cervical biopsies: The TissueNet challenge?;36605109;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
CHAIMELEON Project: Creation of a Pan-European Repository of Health Imaging Data for the Development of AI-Powered Cancer Management Tools.;35280732;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Economic burden of joint analysis in psoriasis: US claims analysis.;34889582;Yes;n/a;2021;12;No;US;US;Optum;US
Clinical Data Prediction Model to Identify Patients With Early-Stage Pancreatic Cancer.;33739856;Yes;n/a;2021;2;No;US;US;Optum;US
The Effect of Nonsteroidal Anti-inflammatory Drugs and Selective COX-2 Inhibitors on Bone Healing.;34421436;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
Classification of clinically relevant intravascular volume status using point of care ultrasound and machine learning.;36186002;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Relation Classification for Bleeding Events From Electronic Health Records Using Deep Learning Systems: An Empirical Study.;34255697;No (excluded in title and abstract screening);No tabular data;2021;;;;;;
Herpes zoster vaccine effectiveness against herpes zoster and postherpetic neuralgia in New Zealand: a retrospective cohort study.;36879782;No (excluded before screening);Outside the search period;2023;;;;;;
Evaluation of COVID-19 Mortality and Adverse Outcomes in US Patients With or Without Cancer.;34709356;Yes;n/a;2022;22;Yes;US;US;Optum;US
Listening to Mental Health Crisis Needs at Scale: Using Natural Language Processing to Understand and Evaluate a Mental Health Crisis Text Messaging Service.;34939068;No (excluded in title and abstract screening);No tabular data;2021;;;;;;
A Visualization and Benchmarking Simulator for Clinical Data.;36325867;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Discovery of Knowledge in the Incidence of a Type of Lung Cancer for Patients through Data Mining Models.;35685154;Yes;n/a;2022;2;No;IQ;ET;Not precisely specified;IQ
Training a machine learning classifier to identify ADHD based on real-world clinical data from medical records.;35902654;Yes;n/a;2022;5;No;DE;DE;Technical University Dresden;DE
An Unsupervised Cluster Analysis of Post-COVID-19 Mental Health Outcomes and Associated Comorbidities.;37128434;Yes;n/a;2022;5;Yes;US;US;Rhode Island Quality Institute;US
Factors Associated With COVID-19 Death in the United States: Cohort Study.;35377319;Yes;n/a;2022;22;Yes;US;US;Optum;US
Studying patterns and predictors of HIV viral suppression using A Big Data approach: a research protocol.;35120435;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Ethnic inequalities in COVID-19 vaccine uptake and comparison to seasonal influenza vaccine uptake in Greater Manchester, UK: A cohort study.;35239661;Yes;n/a;2022;22;Yes;UK;UK;NHS Greater Manchester;UK
Characteristics of available studies and dissemination of research using major clinical data sharing platforms.;34407656;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Cartilage debris and osteoarthritis risk factors influence gene expression in the synovium in end stage osteoarthritis.;35679783;No (not retrieved);Not retrieved;2022;;;;;;
Cardiovascular disease preventive medication dispensing for almost every New Zealander 65 years and over: a preventive treatment paradox?;35077560;Yes;n/a;2022;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ
Approaches for Enhanced Extrapolation of Long-Term Survival Outcomes Using Electronic Health Records of Patients With Cancer.;35094796;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
ERBB2 Copy Number as a Quantitative Biomarker for Real-World Outcomes to Anti-Human Epidermal Growth Factor Receptor 2 Therapy in Advanced Gastroesophageal Adenocarcinoma.;35050711;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Death from cancer: frequent unscheduled care.;35351803;Yes;n/a;2022;2;No;UK;UK;Multiple;UK
Antidepressant and antipsychotic treatment of Psychotic Major Depression in a British mental healthcare setting.;33961752;No (excluded before screening);Outside the search period;2023;;;;;;
Shielding reduced incidence of COVID-19 in patients with inflammatory arthritis but vulnerability is associated with increased mortality.;35567479;Yes;n/a;2022;13;Yes;UK;UK;SAIL Databank;UK
Societal Cost of Ischemic Stroke in Romania: Results from a Retrospective County-Level Study.;34073732;Yes;n/a;2021;9;No;RO;RO;Iuliu Hatieganu University of Medicine and Pharmacy;RO
An open repository of real-time COVID-19 indicators.;34903654;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
Missing diagnoses of congenital cytomegalovirus infection in electronic health records for infants with laboratory-confirmed infection.;34775876;Yes;n/a;2022;16;No;US;US;Cerner Corporation;US
Characterizing patients with rare mucormycosis infections using real-world data.;35164701;Yes;n/a;2022;1;No;CN;US;Optum;US
Artificial intelligence system for training diagnosis and differentiation with molar incisor hypomineralization (MIH) and similar pathologies.;36065023;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Computational Approaches for Supporting Combination Therapy in the Post-Aducanumab Era in Alzheimer's Disease.;34966890;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Elevation of C-reactive protein in adolescent bipolar disorder vs. anxiety disorders.;36306709;No (not retrieved);Not retrieved;2022;;;;;;
DDIWAS: High-throughput electronic health record-based screening of drug-drug interactions.;33712848;Yes;n/a;2021;;No;US;US;Vanderbilt University Medical Center;US
Quantifying the Risk of Drug-Induced Pancreatitis With Angiotensin-Converting Enzyme Inhibitors and Statins Using a Large Electronic Medical Record Database.;34714286;No (not retrieved);Not retrieved;2021;;;;;;
One year of psychiatric presentations to a hospital emergency department during COVID-19.;35285434;Yes;n/a;2022;5;Yes;IE;IE;Beaumont Hospital ;IE
Disparities in Utilization and Outcomes With Continuous Subcutaneous Insulin Infusion in Young Adults With Type 1 Diabetes.;33991655;No (not retrieved);Not retrieved;2021;;;;;;
Obesity Pharmacotherapy is Effective in the Veterans Affairs Patient Population: A Local and Virtual Cohort Study.;33491308;Yes;n/a;2021;4;No;US;US;VA New York Harbor Health Care;US
Comparing antibiotic prescribing between clinicians in UK primary care: an analysis in a cohort study of eight different measures of antibiotic prescribing.;35241573;Yes;n/a;2022;1;No;UK;UK;Clinical Practice Research Datalink;UK
A comparison of routine and case-managed pathways for recovery from musculoskeletal disorders in people in employment.;33896322;Yes;n/a;2022;13;No;UK;UK;NHS Scotland;UK
A comparison of two national frailty scoring systems.;33252680;Yes;n/a;2021;18;No;UK;UK;SAIL Databank;UK
Real-world use of an etanercept biosimilar including selective versus automatic substitution in inflammatory arthritis patients: a UK-based electronic health records study.;35910710;Yes;n/a;2022;13;No;UK;UK;SAIL Databank;UK
Using set visualisation to find and explain patterns of missing values: a case study with NHS hospital episode statistics data.;36410820;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Antipsychotic polypharmacy and adverse drug reactions among adults in a London mental health service, 2008-2018.;35485715;Yes;n/a;2022;5;No;UK;UK;Camden and Islington NHS Foundation Trust;UK
Using topic modelling for unsupervised annotation of electronic health records to identify an outbreak of disease in UK dogs.;34882714;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Assessment of Electronic Health Record Use Between US and Non-US Health Systems.;33315048;No (excluded in full-paper screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
Prevalence and risk factors for delirium in critically ill patients with COVID-19 (COVID-D): a multicentre cohort study.;33428871;Yes;n/a;2021;5;Yes;US;US;Multiple;various
Differences in Temporal Relapse Characteristics Between Affective and Non-affective Psychotic Disorders: Longitudinal Analysis.;33692704;Yes;n/a;2021;5;No;AU;AU;Multiple;AU
Risk Factors Associated With Pressure Injuries in Surgical Patients: A Retrospective Case-Control Study.;36417372;Yes;n/a;2022;12;No;KR;KR;Bundang Hospital;KR
Comparison of Titer and Signal to Noise (S/N) for Determination of Anti-drug Antibody Magnitude Using Clinical Data from an Industry Consortium.;35821280;Yes;n/a;2022;;No;US;US;Multiple;US
Integrated digital pathology at scale: A solution for clinical diagnostics and cancer research at a large academic medical center.;34260720;No (excluded in title and abstract screening);No tabular data;2021;;;;;;
Using data visualization to detect patterns in whole-person health data.;35717597;Yes;n/a;2022;;No;US;US;University of Minnesota;US
Budget constrained machine learning for early prediction of adverse outcomes for COVID-19 patients.;34599200;Yes;n/a;2021;22;Yes;US;US;ProMedica;US
Implementation of a Mandatory Influenza Vaccine Policy: A 10-Year Experience.;33372217;Yes;n/a;2021;1;No;US;US;Children’s Hospital of Philadelphia;US
Neurological and psychiatric disorders among autistic adults: a population healthcare record study.;36189783;Yes;n/a;2022;5;No;UK;UK;SAIL Databank;UK
Childhood Factors and Dental Caries in the Permanent Dentition: Findings of an 8-Year Study Under a Nationwide School Dental Service.;33743991;Yes;n/a;2021;11;No;SG;SG;Health Promotion Board (Singapore);SG
Associations with visual acuity outcomes after 12 months of treatment in 9401 eyes with neovascular AMD.;36161843;Yes;n/a;2022;7;No;UK;UK;Multiple;UK
A population level study into health vulnerabilities of mothers and fathers involved in public law care proceedings in Wales, UK between 2011 and 2019.;35520100;Yes;n/a;2022;;No;UK;UK;SAIL Databank;UK
Prevalence of commonly diagnosed disorders in UK dogs under primary veterinary care: results and applications.;33593363;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
New EHR certification requirements and their association with duplicate tests and images.;35640013;Yes;n/a;2022;;No;US;US;FAIR Health;US
Embedding electronic health records onto a knowledge network recognizes prodromal features of multiple sclerosis and predicts diagnosis.;34915552;Yes;n/a;2022;6;No;US;US;University of California San Francisco;US
Comparing Clinical Characteristics of Influenza and Common Coronavirus Infections Using Electronic Health Records.;33011809;Yes;n/a;2021;10;Yes;US;US;Geisinger Health System;US
The burden associated with, and management of, difficult-to-treat depression in patients under specialist psychiatric care in the United Kingdom.;35506640;Yes;n/a;2022;5;No;UK;UK;Oxford Health NHS Foundation Trust, Cumbria Northumberland Tyne and Wear NHS Foundation Trust, Southern Health NHS Foundation Trust, South West London & St George’s Mental Health NHS Trust, West London NHS Trust;UK
Accounting for Delayed Entry in Analyses of Overall Survival in Clinico-Genomic Databases.;35027431;Yes;n/a;2022;;No;US;US;Flatiron Health;US
Multi-institutional Experience with Patient Image Access Through Electronic Health Record Patient Portals.;35022926;No (excluded in title and abstract screening);Anonymous survey;2022;;;;;;
CardioNet: a manually curated database for artificial intelligence-based research on cardiovascular diseases.;33509180;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
Defining renal remission in an international cohort of 248 children and adolescents with lupus nephritis.;34626102;Yes;n/a;2022;13;No;IT;UK;Multiple;US, IN, TH, SG, JP, BR, FR, IT, TR, UK
Pediatric sepsis phenotypes for enhanced therapeutics: An application of clustering to electronic health records.;35112102;Yes;n/a;2022;16;No;US;US;MedStar Washington Hospital Center;US
Predicting healthcare-seeking behavior based on stated readiness to act: development and validation of a prediction model.;34283889;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
The Challenges of Predicting Drug-Induced QTc Prolongation in Humans.;35148401;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Accessing HIV care may lead to earlier ascertainment of comorbidities in health care clients in Khayelitsha, Cape Town.;36962101;Yes;n/a;2021;1;No;ZA;ZA;Provincial Health Data Centre;ZA
Quality improvement in juvenile idiopathic arthritis: a mixed-methods implementation pilot of the CAPTURE-JIA dataset.;35717328;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Susceptibility to COVID-19 Diagnosis in People with Down Syndrome Compared to the General Population: Matched-Cohort Study Using Primary Care Electronic Records in the UK.;35386043;Yes;n/a;2022;17;Yes;UK;UK;Clinical Practice Research Datalink;UK
Early experience with an opt-in research register - Scottish Health Research Register (SHARE): a multi-method evaluation of participant recruitment performance.;34930144;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;
Generating real-world data from health records: design of a patient-centric study in multiple sclerosis using a commercial health records platform.;35155999;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Genome-Wide Association Study Identifies Genetic Risk Factors for Spastic Cerebral Palsy.;34098570;Yes;n/a;2021;6;No;US;US;Vanderbilt University Medical Center;US
Modeling the Ex Post Real Option Value in Metastatic Melanoma Using Real-World Data.;34838272;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
A likelihood-based convolution approach to estimate major health events in longitudinal health records data: an external validation study.;34151985;Yes;n/a;2021;;No;US;US;Optum;US
Association between mirtazapine use and serious self-harm in people with depression: an active comparator cohort study using UK electronic health records.;35246454;Yes;n/a;2022;5;No;UK;UK;Clinical Practice Research Datalink;UK
Inequalities in coverage of COVID-19 vaccination: A population register based cross-sectional study in Wales, UK.;34544601;Yes;n/a;2021;22;Yes;UK;UK;SAIL Databank;UK
Is it possible to implement a rare disease case-finding tool in primary care? A UK-based pilot study.;35172857;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
COVID-19 infection risk amongst 14,104 vaccinated care home residents: a national observational longitudinal cohort study in Wales, UK, December 2020-March 2021.;34850818;Yes;n/a;2022;22;Yes;UK;UK;SAIL Databank;UK
Identifying Dysphagia and Demographic Associations in Older Adults Using Electronic Health Records: A National Longitudinal Observational Study in Wales (United Kingdom) 2008-2018.;35212847;Yes;n/a;2022;18;No;UK;UK;SAIL Databank;UK
Epilepsy mortality in Wales during COVID-19.;34864250;Yes;n/a;2022;6;Yes;UK;UK;SAIL Databank;UK
Social determinants of pertussis and influenza vaccine uptake in pregnancy: a national cohort study in England using electronic health records.;34155074;Yes;n/a;2021;10;No;UK;UK;Clinical Practice Research Datalink;UK
Health condition at first fit note and number of fit notes: a longitudinal study of primary care records in south London.;33771823;Yes;n/a;2021;;No;UK;UK;Lambeth Together;UK
Associations of weight loss with obesity-related comorbidities in a large integrated health system.;34472680;Yes;n/a;2021;4;No;US;US;Cleveland Clinic;US
Treatment Sequencing Patterns and Associated Direct Medical Costs of Metastatic Breast Cancer Care in the United States, 2011 to 2021.;36445704;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
An observational study of international normalized ratio control according to NICE criteria in patients with non-valvular atrial fibrillation: the SAIL Warfarin Out of Range Descriptors Study (SWORDS).;31774502;Yes;n/a;2021;9;No;UK;UK;SAIL Databank;UK
Diabetic retinopathy as a predictor of cardiovascular morbidity and mortality in subjects with type 2 diabetes.;36052329;Yes;n/a;2022;9;No;ES;ES;SIDIAP;ES
Preoperative Computed Tomography Morphological Features Indicative of Incisional Hernia Formation After Abdominal Surgery.;35837959;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
[University emergency departments in the corona pandemic-Results from the ReCovER registry].;34468772;No (excluded before screening);Non-English;2022;;;;;;
Avoidable hospitalizations and access to primary care: comparisons among Italians, resident immigrants and undocumented immigrants in administrative hospital discharge records.;35295899;Yes;n/a;2022;;No;IT;IT;Ministry of Health (Italy);IT
Intra-database validation of case-identifying algorithms using reconstituted electronic health records from healthcare claims data.;33933001;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
The Safety of Delayed Versus Immediate Antibiotic Prescribing for Upper Respiratory Tract Infections.;32594104;Yes;n/a;2021;10;No;UK;UK;SAIL Databank, Clinical Practice Research Datalink;UK
Adaptation of colorectal cancer screening tailored navigation content for American Indian communities and early results using the intervention.;35090575;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Molecular medicine tumor board: whole-genome sequencing to inform on personalized medicine for a man with advanced prostate cancer.;33568750;Yes;n/a;2021;2;No;US;US;Not precisely specified;US
Biomarker Testing for Patients With Advanced/Metastatic Nonsquamous NSCLC in the United States of America, 2015 to 2021.;35677681;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
"The effects of patient out-of-pocket costs for insulin on medication adherence and health care utilization in patients with commercial insurance; 2007-2018.";35392659;Yes;n/a;2022;4;No;US;US;Optum;US
Evaluation of Preanalytical Point-of-Care Testing Errors and Their Impact on Productivity in the Emergency Department in the United States.;35015866;Yes;n/a;2022;;No;US;US;Oregon Health and Science University;US
Associations Between Diabetic Retinopathy and Parkinson's Disease: Results From the Catalonian Primary Care Cohort Study.;35118094;Yes;n/a;2021;4;No;ES;ES;SIDIAP;ES
Evaluating a Novel Hemodialysis Central Venous Catheter Cap in Reducing Bloodstream Infections: A Quality Improvement Initiative.;33953599;Yes;n/a;2021;19;No;US;US;Multiple;US
How do cancer clinicians perceive real-world data and the evidence derived therefrom? Findings from an international survey of the European Organisation for Research and Treatment of Cancer.;36091761;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Retrospective Analysis of Treatment Pathways in Patients With BRAF(V600E)-mutant Metastatic Colorectal Carcinoma - MORSE(CRC).;36191968;Yes;n/a;2022;2;No;AT;CH;Multiple;DE, AT, CH
Ramucirumab in Indian Patients with Advanced Gastric Cancer-Does Borderline Performance Status and Heavy Burden of Disease in Real World Practice Impact Clinical Benefit?;35833042;Yes;n/a;2022;2;No;IN;IN;Multiple;IN
Cardiovascular preventive pharmacotherapy stratified by predicted cardiovascular risk: a national data linkage study.;33580793;Yes;n/a;2022;9;No;NZ;NZ;Statistics New Zealand;NZ
Clinical Relevance of Drug-Drug Interactions With Antibiotics as Listed in a National Medication Formulary: Results From Two Large Population-Based Case-Control Studies in Patients Aged 65-100 Years Using Linked English Primary Care and Hospital Data.;36448824;No (excluded before screening);Outside the search period;2023;;;;;;
Epidemiology, healthcare resource utilization and healthcare costs for spinal muscular atrophy in Alberta, Canada.;34906030;Yes;n/a;2021;6;No;CA;CA;Alberta Health Services;CA
Are competing-risk models superior to standard Cox models for predicting cardiovascular risk in older adults? Analysis of a whole-of-country primary prevention cohort aged ≥65 years.;34109395;Yes;n/a;2022;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ
Predicting asthma-related crisis events using routine electronic healthcare data: a quantitative database analysis study.;34133316;Yes;n/a;2021;10;No;UK;UK;SAIL Databank, Clinical Practice Research Datalink;UK
The weekend effect on the provision of Emergency Surgery before and during the COVID-19 pandemic: case-control analysis of a retrospective multicentre database.;35488247;Yes;n/a;2022;22;Yes;UK;IT;Multiple;FR, IT, PT, ES, UK
Effectiveness of the BNT162b2 (Pfizer-BioNTech) and the ChAdOx1 nCoV-19 (Oxford-AstraZeneca) vaccines for reducing susceptibility to infection with the Delta variant (B.1.617.2) of SARS-CoV-2.;35307024;Yes;n/a;2022;22;Yes;UK;UK;Multiple;UK
Cohort profile: the South African National Health Laboratory Service (NHLS) National HIV Cohort.;36261238;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Friedreich's ataxia-associated childhood hypertrophic cardiomyopathy: a national cohort study.;34610949;Yes;n/a;2022;9;No;UK;UK;Multiple;UK
Quantified electronic health record (EHR) use by academic surgeons.;33483138;No (not retrieved);Not retrieved;2021;;;;;;
English Bulldogs in the UK: a VetCompass study of their disorder predispositions and protections.;35701824;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;
Trastuzumab-based regimens beyond progression: A crucial treatment option for HER2+ advanced/metastatic breast cancer.;36375387;Yes;n/a;2022;2;No;CH;PT;Flatiron Health;US
Predicting Clinical Remission of Chronic Urticaria Using Random Survival Forests: Machine Learning Applied to Real-World Data.;36301485;Yes;n/a;2022;12;No;CA;UK;Optum;US
Promoting Children's Health Equity With Medical-Dental Integration.;35133726;Yes;n/a;2022;11;No;US;US;Not precisely specified;US
The contribution of early adverse stress to complex and severe depression in depressed outpatients.;33621410;Yes;n/a;2021;5;No;CL;CL;Not precisely specified;CL
Prevalence of young-onset dementia: nationwide analysis of routinely collected data.;35995550;Yes;n/a;2022;5;No;NZ;NZ;Statistics New Zealand;NZ
Root Canal Treatment Survival Analysis in National Dental PBRN Practices.;35549468;Yes;n/a;2022;11;No;US;US;Multiple;US
Exploration of an alternative to body mass index to characterize the relationship between height and weight for prediction of metabolic phenotypes and cardiovascular outcomes.;35127128;Yes;n/a;2022;4;No;US;US;Vanderbilt University Medical Center;US
ACA Medicaid expansion association with racial disparity reductions in timely cancer treatment.;34314116;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Association Between Medicare's National Coverage Determination and Utilization of Next-Generation Sequencing.;34043456;Yes;n/a;2021;;No;US;US;Flatiron Health;US
Real-world comparative effectiveness of triplets containing bortezomib (B), carfilzomib (C), daratumumab (D), or ixazomib (I) in relapsed/refractory multiple myeloma (RRMM) in the US.;33970288;Yes;n/a;2021;2;No;US;US;Optum;US
Accuracy of an Artificial Intelligence System for Cancer Clinical Trial Eligibility Screening: Retrospective Pilot Study.;33769304;Yes;n/a;2021;2;No;US;US;Mayo Clinic;US
Occurrence of Thromboembolic Events and Mortality Among Hospitalized Coronavirus 2019 Patients: Large Observational Cohort Study of Electronic Health Records.;36452205;Yes;n/a;2022;9;Yes;US;US;Optum;US
Leveraging electronic health records to inform genetic counseling practice surrounding psychiatric disorders.;35191121;Yes;n/a;2022;5;No;US;US;Vanderbilt University Medical Center;US
Detection of Atrial Fibrillation After Central Retinal Artery Occlusion.;34092124;Yes;n/a;2021;9;No;US;US;Vanderbilt University Medical Center;US
Electronic Health Records-Based Cardio-Oncology Registry for Care Gap Identification and Pragmatic Research: Procedure and Observational Study.;33797396;Yes;n/a;2021;2;No;US;US;University of Texas Southwestern Medical Center;US
Comparison of Medication Alerts from Two Commercial Applications in the USA.;33616888;Yes;n/a;2021;;No;US;US;Brigham and Women’s Hospital;US
Real-world ALK Testing Trends in Patients With Advanced Non-Small-Cell Lung Cancer in the United States.;36376172;No (excluded before screening);Outside the search period;2023;;;;;;
Disparities in Tumor Mutational Burden, Immunotherapy Use, and Outcomes Based on Genomic Ancestry in Non-Small-Cell Lung Cancer.;34752134;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Investigating the relationship between thought interference, somatic passivity and outcomes in patients with psychosis: a natural language processing approach using a clinical records search platform in south London.;35918110;Yes;n/a;2022;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Association of Rosuvastatin Use with Risk of Hematuria and Proteinuria.;35853713;Yes;n/a;2022;18;No;US;US;Optum;US
Utilisation of pre-exposure prophylaxis (PrEP) for HIV prevention in the Australian general practice setting: a longitudinal observational study.;35469591;Yes;n/a;2022;1;No;AU;AU;NPS MedicineWise;AU
Association between timely targeted treatment and outcomes in patients with metastatic HER2-overexpressing gastroesophageal adenocarcinoma.;35119688;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Impact of the COVID-19 pandemic on remote mental healthcare and prescribing in psychiatry: an electronic health record study.;33785494;Yes;n/a;2021;5;Yes;UK;UK;South London and Maudsley NHS Foundation Trust;UK
EGFR Testing Patterns and Detection of EGFR Exon 20 Insertions in the United States.;35199057;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Clozapine-Associated Leukopenia and Agranulocytosis in Western Cape, South Africa: A 3-Year Retrospective Cohort Study.;33843819;No (not retrieved);Not retrieved;2021;;;;;;
Performance of an electronic health record-based predictive model to identify patients with atrial fibrillation across countries.;35802569;Yes;n/a;2022;9;No;UK;US;IQVIA;DE, UK, FR, AU, BE
Dental Extractions under General Anesthesia: New Insights from Process Mining.;35403470;No (excluded before screening);Outside the search period;2023;;;;;;
Epidemiology, Comorbidities, and Prescription Patterns of Korean Prurigo Nodularis Patients: A Multi-Institution Study.;35011837;Yes;n/a;2021;12;No;KR;KR;The Catholic University of Korea;KR
Impact of coronavirus disease 2019 epidemics on prevention and care for HIV and other sexually transmitted infections.;35013084;Yes;n/a;2022;1;Yes;ES;ES;Not precisely specified;ES
The impact of the first UK COVID-19 lockdown on presentations with psychosis to mental health services for older adults: An electronic health records study in South London.;36333839;Yes;n/a;2022;5;Yes;UK;UK;South London and Maudsley NHS Foundation Trust;UK
A retrospective epidemiological study of type 1 diabetes mellitus in wales, UK between 2008 and 2018.;34007896;Yes;n/a;2021;4;No;UK;UK;SAIL Databank;UK
Using routinely recorded data in a UK RCT: a comparison to standard prospective data collection methods.;34225782;Yes;n/a;2021;6;No;UK;UK;SAIL Databank;UK
Long term miscarriage-related hypertension and diabetes mellitus. Evidence from a United Kingdom population-based cohort study.;35061706;Yes;n/a;2022;15;No;UK;UK;IQVIA;UK
Neurological and psychiatric risk trajectories after SARS-CoV-2 infection: an analysis of 2-year retrospective cohort studies including 1 284 437 patients.;35987197;Yes;n/a;2022;22;Yes;UK;UK;TriNetX;US, AU, UK, ES, IN, MY, TW, BG
Disparities Exist in Physical Therapy Utilization and Time to Utilization Between Black and White Patients With Musculoskeletal Pain.;35871435;Yes;n/a;2022;13;No;US;US;Optum;US
Trends in characteristics and outcomes among US adults hospitalised with COVID-19 throughout 2020: an observational cohort study.;35228287;Yes;n/a;2022;22;Yes;US;US;Optum;US
Annual Costs Incurred in Managing Adverse Drug Reactions Attributable to Fixed-Dose Combination Highly Active Antiretroviral Therapy in an Outpatient Antiretroviral Clinic in Gauteng: A Budget Impact Analysis.;34130039;Yes;n/a;2021;1;No;ZA;ZA;Not precisely specified;ZA
Exploring Large Community- and Clinically-Generated Datasets to Understand Resilience Before and During the COVID-19 Pandemic.;33811723;Yes;n/a;2021;22;Yes;US;US;University of Minnesota;US
Submaximal Angiotensin-Converting Enzyme Inhibitor and Angiotensin Receptor Blocker Dosing Among Persons With Proteinuria.;36210196;Yes;n/a;2022;18;No;US;US;Optum;US
Treatment Trends and Clinical Outcomes of Left-Sided RAS/RAF Wild-Type Metastatic Colorectal Cancer in the United States.;35120306;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Application of machine learning and natural language processing for predicting stroke-associated pneumonia.;36249261;Yes;n/a;2022;10;No;TW;TW;Ditmanson Medical Foundation Chia-Yi Christian Hospital, Not precisely specified healthcare facility;TW
Natural History of Human Epidermal Growth Factor Receptor 2-Amplified and Human Epidermal Growth Factor Receptor 2 Wild-Type Refractory Metastatic Colorectal Cancer in US Clinical Practice.;35297649;Yes;n/a;2022;2;No;CH;CA;Flatiron Health;US
Evaluation and management of COVID-19-related severity in people with type 2 diabetes.;34493495;Yes;n/a;2021;4;Yes;US;US;Optum;US
Characterization of Non-Small-Cell Lung Cancers With MET Exon 14 Skipping Alterations Detected in Tissue or Liquid: Clinicogenomics and Real-World Treatment Patterns.;34476332;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Real-world evidence for option value in metastatic melanoma.;34431715;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
