Title;Authors;PMID;Include;Reason for exclusion;Publishing year;Publishing month;Submission year;Submission month;Research data;Healthcare data;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Time-to-Publication
Point prevalence survey to assess antibiotic prescribing pattern among hospitalized patients in a county referral hospital in Kenya.;Kamita M and Maina M and Kimani R and Mwangi R and Mureithi D and Nduta C and Gitaka J;39816410;Yes;;2022;10;2022;7;No;Yes;1;No;KE;KE;Multiple;KE;3.0
Effects of the COVID-19 lockdown on primary health care for persons with type 2 diabetes - Results from the German Disease Analyzer database.;Kowall B and Kostev K and Landgraf R and Hauner H and Bierwirth R and Rathmann W;34391829;Yes;;2021;9;2021;6;No;Yes;4;Yes;DE;DE;German Disease Analyzer database (IQVIA);DE;3.0
Predicting healthcare-seeking behavior based on stated readiness to act: development and validation of a prediction model.;Green EP and Pradheep S and Heinzelman J and Nyanchoka A and Achieng D and Goyal S and Cusson L and Kurz AS and Bellows B;34283889;No (excluded in title and abstract screening);No tabular data;2022;1;na;na;No;Yes;;;;;;;
Prevalence of overuse of short-acting beta-2 agonists (SABA) and associated factors among patients with asthma in Germany.;Worth H and Criée CP and Vogelmeier CF and Kardos P and Becker EM and Kostev K and Mokros I and Schneider A;33863317;Yes;;2021;4;2020;9;No;Yes;10;No;DE;DE;German Disease Analyzer database;DE;7.0
Accessing HIV care may lead to earlier ascertainment of comorbidities in health care clients in Khayelitsha, Cape Town.;Osei-Yeboah R and Tamuhla T and Ngwenya O and Tiffin N;36962101;Yes;;2021;;2021;7;No;Yes;1;No;ZA;ZA;Provincial Health Data Centre;ZA;
The Challenges of Predicting Drug-Induced QTc Prolongation in Humans.;Valentin JP and Hoffmann P and Ortemann-Renon C and Koerner J and Pierson J and Gintant G and Willard J and Garnett C and Skinner M and Vargas HM and Wisialowski T and Pugsley MK;35148401;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;4;na;na;No;Yes;;;;;;;
Impact of overlapping risks of type 2 diabetes and obesity on coronavirus disease severity in the United States.;Ando W and Horii T and Uematsu T and Hanaki H and Atsuda K and Otori K;34504112;Yes;;2021;9;2021;2;Yes;No;4;Yes;JP;JP;Healthjump;US;7.0
Rituximab utilization for approved and off-label nononcology indications and patients' experiences with the Patient Alert Card.;Sarsour K and Beckley-Kartey S and Melega S and Odueyungbo A and Kirchner P and Khalife N and Bangs J;31911839;Yes;;2020;2;2019;11;No;Yes;;No;US;GB;Multiple;FR, DE, IT, ES, GB;3.0
Analysis of disease comorbidity patterns in a large-scale China population.;Guo M and Yu Y and Wen T and Zhang X and Liu B and Zhang J and Zhang R and Zhang Y and Zhou X;31829182;Yes;;2019;12;na;na;No;Yes;;No;CN;CN;China Academy of Chinese Medical Sciences;CN;
Sacroiliac joint morphologic changes from infancy to adulthood.;Coudert P and Dubé-Cyr R and Chaumoitre K and Gille O and Vital JM and Jouve JL and Arnoux PJ and Panuel M and Evin M;31125692;No (excluded in title and abstract screening);No tabular data;2019;10;2018;11;No;Yes;;;;;;;11.0
Multifocal motor neuropathy in Austria: a nationwide survey of clinical features and response to treatment.;Löscher WN and Oberreiter EM and Erdler M and Quasthoff S and Culea V and Berek K and Embacher N and Grinzinger S and Hess I and Höger FS and Horlings CGC and Huemer M and Jecel J and Kleindienst W and Laich E and Müller P and Oel D and Örtl W and Lenzenweger E and Rath J and Stadler K and Stieglbauer K and Thaler-Wolf C and Wanschitz J and Zimprich F and Cetin H and Topakian R;30259176;Yes;;2018;12;2018;8;No;Yes;6;No;AT;AT;Multiple;AT;4.0
[Practice of early detection of prostate cancer : Descriptive survey in preparation for the PSAInForm study].;Simbrich A and Semjonow A and Donner-Banzhoff N and Hense HW;29671079;No (excluded before screening);not English;2018;6;na;na;No;Yes;;;;;;;
Primary care consultations and pain medicine prescriptions: a comparison between patients with and without chronic pain after total knee replacement.;Pinedo-Villanueva R and Kolovos S and Maronga C and Delmestri A and Howells N and Judge A and Gooberman-Hill R and Wylde V;35672693;Yes;;2022;6;2022;1;Yes;No;13;No;GB;GB;Clinical Practice Research Datalink, Hospital Episode Statistics ;GB;5.0
Maternal smoking behaviour across the first two pregnancies and small for gestational age birth: Analysis of the SLOPE (Studying Lifecourse Obesity PrEdictors) population-based cohort in the South of England.;Taylor EJ and Doh P and Ziauddeen N and Godfrey KM and Berrington A and Alwan NA;34793557;Yes;;2021;11;2021;4;No;Yes;15;No;GB;GB;University Hospital Southampton NHS Trust Maternity Services;GB;7.0
Comparing psychotropic medication prescribing in personality disorder between general mental health and psychological services: retrospective cohort study.;Kadra-Scalzo G and Garland J and Miller S and Chang CK and Fok M and Hayes RD and Moran P and Shetty H and Young AH and Stewart R;33762065;Yes;;2021;3;na;na;No;Yes;5;No;GB;GB;South London and Maudsley NHS Foundation Trust;GB;
How do cardiovascular risk prediction equations developed among 30-74 year olds perform in older age groups? A validation study in 125 000 people aged 75-89 years.;Mehta S and Jackson R and Poppe K and Kerr AJ and Pylypchuk R and Wells S;32144211;Yes;;2020;6;2019;11;No;Yes;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ;7.0
Predictors of severe relapse in pregnant women with psychotic or bipolar disorders.;Taylor CL and Broadbent M and Khondoker M and Stewart RJ and Howard LM;30015264;Yes;;2018;9;2018;2;No;Yes;5;No;GB;GB;South London and Maudsley NHS Foundation Trust;GB;7.0
Prevalence and correlates of low-grade systemic inflammation in adult psychiatric inpatients: An electronic health record-based study.;Osimo EF and Cardinal RN and Jones PB and Khandaker GM;29544672;Yes;;2018;5;2017;12;No;Yes;5;No;GB;GB;Cambridgeshire and Peterborough NHS Foundation Trust;GB;5.0
Observational UK cohort study to describe intermittent oral corticosteroid prescribing patterns and their association with adverse outcomes in asthma.;Heatley H and Tran TN and Bourdin A and Menzies-Gow A and Jackson DJ and Maslova E and Chapaneri J and Skinner D and Carter V and Chan JSK and Ariti C and Haughney J and Price DB;36575040;No (excluded before screening);Outside the search period;2023;9;2022;9;No;Yes;;;;;;;12.0
A population level study into health vulnerabilities of mothers and fathers involved in public law care proceedings in Wales, UK between 2011 and 2019.;Johnson RD and North L and Alrouh B and John A and Jones K and Akbari A and Smart J and Thompson S and Hargreaves C and Doebler S and Cusworth L and Broadhurst K and Ford DV and Griffiths LJ;35520100;Yes;;2022;;na;na;No;Yes;;No;GB;GB;SAIL Databank;GB;
Analysis of the frequency of ceftriaxone-induced encephalopathy using the Japanese Adverse Drug Event Report database.;Yamada T and Mitsuboshi S and Suzuki K and Nishihara M and Neo M;35449346;Yes;;2022;8;2021;12;No;Yes;6;No;JP;JP;Japanese Adverse Drug Event Report;JP;8.0
Association between mirtazapine use and serious self-harm in people with depression: an active comparator cohort study using UK electronic health records.;Joseph RM and Jack RH and Morriss R and Knaggs RD and Butler D and Hollis C and Hippisley-Cox J and Coupland C;35246454;Yes;;2022;11;2021;10;No;Yes;5;No;GB;GB;Clinical Practice Research Datalink;GB;13.0
Prevalence of commonly diagnosed disorders in UK dogs under primary veterinary care: results and applications.;O'Neill DG and James H and Brodbelt DC and Church DB and Pegram C;33593363;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;2;2020;6;No;Yes;;;;;;;8.0
Epilepsy mortality in Wales during COVID-19.;Daniels H and Lacey AS and Mikadze D and Akbari A and Fonferko-Shadrach B and Hollinghurst J and Lyons RA and Rees MI and Sawhney IM and Powell RH and Kerr MP and Pickrell WO;34864250;Yes;;2022;1;2021;8;No;Yes;6;Yes;GB;GB;SAIL Databank;GB;5.0
Health condition at first fit note and number of fit notes: a longitudinal study of primary care records in south London.;Dorrington S and Carr E and Polling C and Stevelink S and Ashworth M and Roberts E and Broadbent M and Hatch S and Madan I and Hotopf M;33771823;Yes;;2021;3;na;na;No;Yes;;No;GB;GB;Lambeth Together;GB;
Meta-analyses of phase 3 randomised controlled trials of third generation aromatase inhibitors versus tamoxifen as first-line endocrine therapy in postmenopausal women with hormone receptor-positive advanced breast cancer.;Robertson JFR and Paridaens RJ and Lichfield J and Bradbury I and Campbell C;33418233;Yes;;2021;3;2020;8;No;Yes;2;No;GB;GB;Multiple;various;7.0
Consequences of SARS-CoV-2 pandemic on urological surgery in France: a nationwide analysis of the healthcare system database.;Robert G and Bernhard JC and Capon G and Alezra E and Estrade V and Blanc P and Bladou F and Bensadoun H;36375970;Yes;;2022;11;na;na;No;Yes;14;Yes;FR;FR;Information Systems Medicalization Program;FR;
Nationwide observational study of paediatric inflammatory multisystem syndrome temporally associated with SARS-CoV-2 (PIMS-TS) in the Czech Republic.;David J and Stara V and Hradsky O and Tuckova J and Slaba K and Jabandziev P and Sasek L and Huml M and Zidkova I and Pavlicek J and Palatova A and Klaskova E and Banszka K and Terifajova E and Vyhnanek R and Bloomfield M and Fingerhutova S and Dolezalova P and Prochazkova L and Chramostova G and Fencl F and Lebl J;35987943;Yes;;2022;10;2022;2;No;Yes;22;Yes;CZ;CZ;Multiple;CZ;8.0
Clinical features in primary care electronic records before diagnosis of ankylosing spondylitis: a nested case-control study.;Bashir MT and Iversen L and Burton C;32375655;Yes;;2020;5;2019;11;No;Yes;13;No;GB;GB;University of Aberdeen;GB;6.0
Shining the light on eating disorders, incidence, prognosis and profiling of patients in primary and secondary care: national data linkage study.;Demmler JC and Brophy ST and Marchant A and John A and Tan JOA;31256764;Yes;;2020;2;na;na;No;Yes;5;No;GB;GB;SAIL Databank;GB;
EPAC-lung: pooled analysis of circulating tumour cells in advanced non-small cell lung cancer.;Lindsay CR and Blackhall FH and Carmel A and Fernandez-Gutierrez F and Gazzaniga P and Groen HJM and Hiltermann TJN and Krebs MG and Loges S and López-López R and Muinelo-Romay L and Pantel K and Priest L and Riethdorf S and Rossi E and Terstappen L and Wikman H and Soria JC and Farace F and Renehan A and Dive C and Besse B and Michiels S;31254940;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;8;2018;12;No;Yes;;;;;;;8.0
Improving coding and primary care management for patients with chronic kidney disease: an observational controlled study in East London.;Hull SA and Rajabzadeh V and Thomas N and Hoong S and Dreyer G and Rainey H and Ashman N;31160369;Yes;;2019;7;2018;9;No;Yes;14;No;GB;GB;Multiple;GB;10.0
Mode of birth after caesarean section: individual prediction scores using Scottish population data.;Denham SH and Humphrey T and deLabrusse C and Dougall N;30819140;Yes;;2019;2;2018;10;No;Yes;15;No;GB;GB;Aberdeen Maternity and Neonatal databank;GB;4.0
Cardiovascular risk factors predicting cardiac events are different in patients with rheumatoid arthritis, psoriatic arthritis, and psoriasis.;Cooksey R and Brophy S and Kennedy J and Gutierrez FF and Pickles T and Davies R and Piguet V and Choy E;29656791;Yes;;2018;12;2017;9;No;Yes;9;No;GB;GB;SAIL Databank;GB;15.0
Screening for Hypogonadism in Primary Healthcare: How to do this Effectively.;Livingston M and Jones R and Hackett G and Donnahey G and Moreno GY and Duff CJ and Heald AH;29365335;Yes;;2018;3;na;na;No;Yes;4;No;GB;GB;Multiple;GB;
Patient characteristics and outcome measurement in a low secure forensic hospital.;Longdon L and Edworthy R and Resnick J and Byrne A and Clarke M and Cheung N and Khalifa N;29218747;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;6;2016;4;No;Yes;;;;;;;26.0
Protocol for development and validation of postpartum cardiovascular disease (CVD) risk prediction model incorporating reproductive and pregnancy-related candidate predictors.;Wambua S and Crowe F and Thangaratinam S and O'Reilly D and McCowan C and Brophy S and Yau C and Nirantharakumar K and Riley R;36536453;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;12;2022;8;Yes;No;;;;;;;4.0
COVID-19 infection risk amongst 14,104 vaccinated care home residents: a national observational longitudinal cohort study in Wales, UK, December 2020-March 2021.;Hollinghurst J and North L and Perry M and Akbari A and Gravenor MB and Lyons RA and Fry R;34850818;Yes;;2022;1;2021;3;No;Yes;22;Yes;GB;GB;SAIL Databank;GB;10.0
Acute myocardial infarctions and stroke triggered by laboratory-confirmed respiratory infections in Denmark, 2010 to 2016.;Ohland J and Warren-Gash C and Blackburn R and Mølbak K and Valentiner-Branth P and Nielsen J and Emborg HD;32372757;Yes;;2020;4;na;na;No;Yes;9;No;DK;DK;Multiple;DK;
[Comparison of 180 W Greenlight-XPS laser vaporisation and transurethral resection of the prostate: comfort for patients and healthcare staff in clinical routine practice].;Lichtenberg T and Wiedemann A and Heppner HJ;32018335;No (excluded before screening);not English;2020;2;na;na;No;Yes;;;;;;;
Comparison of the clinical effect of dutasteride therapy for benign prostatic hyperplasia when initiated at different time points: A multicentre, observational, retrospective chart review study.;Shima Y and Kawano Y and Kobayashi A and Yamanishi T and Takeda H and Palacios-Moreno JM and Yamada M and Masumori N;31508878;Yes;;2019;9;2019;6;No;Yes;14;No;JP;JP;Multiple;JP;3.0
Data Resource: Vascular Risk in Adult New Zealanders (VARIANZ) datasets.;Mehta S and Jackson R and Exeter DJ and Wu BP and Wells S and Kerr AJ;34095534;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;9;na;na;No;Yes;;;;;;;
Shiga toxigenic Escherichia coli incidence is related to small area variation in cattle density in a region in Ireland.;Brehony C and Cullinan J and Cormican M and Morris D;29763867;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;10;2018;3;No;Yes;;;;;;;7.0
Effectiveness of herpes zoster vaccination in an older United Kingdom population.;Walker JL and Andrews NJ and Amirthalingam G and Forbes H and Langan SM and Thomas SL;29555217;Yes;;2018;4;2017;12;No;Yes;1;No;GB;GB;Clinical Practice Research Datalink;GB;4.0
Modeling the Ex Post Real Option Value in Metastatic Melanoma Using Real-World Data.;Lee W and Li M and Wong WB and To TM and Garrison LP and Veenstra DL;34838272;Yes;;2021;12;2021;3;No;Yes;2;No;US;US;Flatiron Health;US;9.0
Body Mapping and Story Circles in Sexual Health Research With Youth of Color: Methodological Insights and Study Findings From Adolescent X, an Art-Based Research Project.;Brodyn A and Lee SY and Futrell E and Bennett I and Bouris A and Jagoda P and Gilliam M;34553642;No (excluded in title and abstract screening);No tabular data;2022;7;na;na;Yes;No;;;;;;;
Characterization of American teduglutide consumers from 2015 to 2020: A large database study.;Loutfy A and Kurin M and Shah R and Davitkov P;34291485;Yes;;2022;3;na;na;No;Yes;11;No;US;US;IBM Explorys;US;
A likelihood-based convolution approach to estimate major health events in longitudinal health records data: an external validation study.;Pruinelli L and Zhou J and Stai B and Schold JD and Pruett T and Ma S and Simon G;34151985;Yes;;2021;8;2020;12;No;Yes;;No;US;US;Optum;US;8.0
Linking Spinal Cord Injury Data Sets to Describe the Patient Journey Following Injury: A Protocol.;Noonan VK and Jaglal SB and Humphreys S and Cronin S and Waheed Z and Fallah N and Kwon BK and Dvorak MF;33536728;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;na;na;No;Yes;;;;;;;
Implementation of a Mandatory Influenza Vaccine Policy: A 10-Year Experience.;Kitt E and Burt S and Price SM and Satchell L and Offit PA and Sammons JS and Coffin SE;33372217;Yes;;2021;7;2020;2;No;Yes;1;No;US;US;Children’s Hospital of Philadelphia;US;17.0
The technology behind TB DEPOT: a novel public analytics platform integrating tuberculosis clinical, genomic, and radiological data for visual and statistical exploration.;Long A and Glogowski A and Meppiel M and De Vito L and Engle E and Harris M and Ha G and Schneider D and Gabrielian A and Hurt DE and Rosenthal A;33150354;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;1;2020;3;No;Yes;;;;;;;10.0
Genome-Wide Association Study Identifies Genetic Risk Factors for Spastic Cerebral Palsy.;Hale AT and Akinnusotu O and He J and Wang J and Hibshman N and Shannon CN and Naftel RP;34098570;Yes;;2021;8;2020;11;No;Yes;6;No;US;US;Vanderbilt University Medical Center;US;9.0
Epidemiology of Hip Injuries in Professional Rodeo: A 4-Year Analysis.;Sinclair Elder AJ and Tincknell R;33195713;Yes;;2020;10;2020;4;No;Yes;19;No;US;US;Justin Sportsmedicine Team;US;6.0
Comparison of Clinical Effectiveness Between Ambroxol and N-Acetylcysteine in Surgical Patients: A Retrospective Cohort Study.;Bian J and Liang H and Zhang M;36263951;No (excluded before screening);Outside the search period;2023;2;2022;7;No;Yes;;;;;;;7.0
Physician Incentives and Sex/Gender Differences in Depression Care: An Interrupted Time Series Analysis.;Puyat JH and Kazanjian A;32219194;Yes;;2020;;na;na;No;Yes;5;No;CA;CA;Multiple;CA;
Risk-Based Newborn Drug Testing in a Setting With a Low Prevalence of Maternal Drug Use.;Wood KE and McMillin GA and Krasowski MD;31278167;No (excluded in title and abstract screening);No tabular data;2019;8;na;na;Yes;No;;;;;;;
Demographic, Clinical, and Immunologic Correlates among a Cohort of 50 Cocaine Users Demonstrating Antineutrophil Cytoplasmic Antibodies.;Morcos MB and Lood C and Hughes GC;31092720;Yes;;2019;9;na;na;No;Yes;13;No;US;US;University of Washington;US;
Reversals and limitations on high-intensity, life-sustaining treatments.;Chavez G and Richman IB and Kaimal R and Bentley J and Yasukawa LA and Altman RB and Periyakoil VS and Chen JH;29489814;Yes;;2018;;2016;11;No;Yes;;No;US;US;Stanford University Medical Center;US;
Analysis of a Pediatric Telemedicine Program.;Vyas S and Murren-Boezem J and Solo-Josephson P;29688823;Yes;;2018;4;na;na;No;Yes;;No;US;US;Nemours CareConnect;US;
The Incidence of Pediatric Tibial Spine Fractures Is Greater and Peaks Later in Male Patients.;DeFrancesco CJ and Tananbaum A and LeBrun DG and Fabricant PD;35494287;Yes;;2022;4;2021;8;No;Yes;19;No;US;US;Healthcare Cost and Utilization Project;US;8.0
Natural language processing and recurrent network models for identifying genomic mutation-associated cancer treatment change from patient progress notes.;Guan M and Cho S and Petro R and Zhang W and Pasche B and Topaloglu U;30944913;No (excluded in title and abstract screening);No tabular data;2019;4;na;na;No;Yes;;;;;;;
Treatment Sequencing Patterns and Associated Direct Medical Costs of Metastatic Breast Cancer Care in the United States, 2011 to 2021.;Jaber Chehayeb R and Hood A and Wang X and Miksad R and Schellhorn Mougalian S and Lustberg MB and Wang SY and Greenup RA and Pusztai L and Kunst N;36445704;Yes;;2022;11;na;na;No;Yes;2;No;US;US;Flatiron Health;US;
Trends in Positive BRCA Test Results Among Older Women in the United States, 2008-2018.;Guo F and Scholl M and Fuchs EL and Wong R and Kuo YF and Berenson AB;33151316;Yes;;2020;11;na;na;No;Yes;2;No;US;US;Optum;US;
Characteristics and Health Care Utilization of Different Segments of a Multiethnic Asian Population in Singapore.;Yan S and Kwan YH and Thumboo J and Low LL;31490539;Yes;;2019;9;na;na;No;Yes;;No;SG;SG;Ministry of Health Singapore;SG;
How T118M peripheral myelin protein 22 predisposes humans to Charcot-Marie-Tooth disease.;Stefanski KM and Li GC and Marinko JT and Carter BD and Samuels DC and Sanders CR;36581210;No (excluded before screening);Outside the search period;2023;2;2022;9;No;Yes;;;;;;;5.0
Correlation of skin prick testing to environmental allergens.;Grobman L and Kitsen J and Mortazavi D and Geng B;33122125;Yes;;2021;4;2020;7;No;Yes;;No;US;US;Raday Children's Hospital, Allergy &  Astma Medical Group;US;9.0
Defining renal remission in an international cohort of 248 children and adolescents with lupus nephritis.;De Mutiis C and Wenderfer SE and Orjuela A and Bagga A and Basu B and Sar T and Aggarwal A and Jain A and Yap CN and Ito S and Ohnishi A and Iwata N and Kasapcopur O and Laurent A and Mastrangelo A and Ogura M and Shima Y and Rianthavorn P and Silva CA and Trindade V and Dormi A and Tullus K;34626102;Yes;;2022;5;2021;4;No;Yes;13;No;IT;GB;Multiple;US, IN, TH, SG, JP, BR, FR, IT, TR, GB;13.0
Association between glycemic control and cardiovascular events in older Japanese adults with diabetes mellitus: An analysis of the Japanese medical administrative database.;Yokote K and Suzuki R and Gouda M and Iijima H and Yamazaki A and Inagaki M;33988907;Yes;;2021;11;2020;12;No;Yes;5;No;JP;JP;Medical Data Vision;JP;11.0
CardioNet: a manually curated database for artificial intelligence-based research on cardiovascular diseases.;Ahn I and Na W and Kwon O and Yang DH and Park GM and Gwon H and Kang HJ and Jeong YU and Yoo J and Kim Y and Jun TJ and Kim YH;33509180;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;1;2020;9;No;Yes;;;;;;;4.0
Validity of health insurance data to identify people with epilepsy.;Wassenaar M and Carpay JA and Sander JW and Thijs RD;29220740;Yes;;2018;1;na;na;No;Yes;6;No;NL;NL;Achmea;NL;
Chest CT in the evaluation of child abuse - When is it useful?;Karmazyn B and Marine MB and Wanner MR and Cooper ML and Delaney LR and Jennings SG and Eckert GJ and Hibbard RA;35973310;No (excluded in title and abstract screening);No tabular data;2022;11;2022;5;No;Yes;;;;;;;6.0
Allogeneic hematopoietic cell transplantation for multiple myeloma: A retrospective analysis of the Polish Myeloma Group.;Gołos A and Gil L and Puła B and Boguradzki P and Hałaburda K and Sawicki W and Sobczyk-Kruszelnicka M and Helbig G and Dybko J and Jurczyszyn A and Dębek S and Warzocha K and Jamroziak K;32919120;No (not retrieved);Not retrieved;2020;9;2020;1;No;Yes;;;;;;;8.0
An observational study of international normalized ratio control according to NICE criteria in patients with non-valvular atrial fibrillation: the SAIL Warfarin Out of Range Descriptors Study (SWORDS).;Harris DE and Thayer D and Wang T and Brooks C and Murley G and Gravenor M and Hill NR and Lister S and Halcox J;31774502;Yes;;2021;1;2019;9;No;Yes;9;No;GB;GB;SAIL Databank;GB;16.0
Preoperative Computed Tomography Morphological Features Indicative of Incisional Hernia Formation After Abdominal Surgery.;McAuliffe PB and Desai AA and Talwar AA and Broach RB and Hsu JY and Serletti JM and Liu T and Tong Y and Udupa JK and Torigian DA and Fischer JP;35837959;No (excluded in title and abstract screening);No tabular data;2022;10;na;na;No;Yes;;;;;;;
Incidence, Prevalence, and Real-World Treatment Patterns in Chronic Myeloid Leukemia: Results from a Population-Representative German Claims Data Analysis.;Saußele S and Kohlbrenner K and Vogelmann T and Schubert T;35340007;Yes;;2022;3;2021;9;Yes;No;2;No;DE;DE;InGef;DE;6.0
[University emergency departments in the corona pandemic-Results from the ReCovER registry].;Suárez V and Koehler FC and Hackl MJ and Möckel M and Slagman A and Pudasaini S and Risse J and Schunk D and BlascCNe S and Kümpers P and Burst V;34468772;No (excluded before screening);not English;2022;10;2021;2;No;Yes;;;;;;;20.0
Real word evidence on rituximab utilization: Combining administrative and hospital-pharmacy data.;Roberto G and Spini A and Bartolini C and Moscatelli V and Barchielli A and Paoletti D and Giorgi S and Fabbri A and Bocchia M and Donnini S and Gini R and Ziche M;32163477;Yes;;2020;3;2019;10;Yes;No;;No;IT;IT;Regional Administrative Database of Tuscany,  Hospital Pharmacy of Siena;IT;5.0
Comparing the Impact of Primary Care Practice Design in Two Inner City UK Homelessness Services.;Zeitler M and Williamson AE and Budd J and Spencer R and Queen A and Lowrie R;32129134;Yes;;2020;1;na;na;No;Yes;;No;GB;GB;Multiple;GB;
Detection of HIV transmission hotspots in British Columbia, Canada: A novel framework for the prioritization and allocation of treatment and prevention resources.;McLaughlin A and Sereda P and Oliveira N and Barrios R and Brumme CJ and Brumme ZL and Montaner JSG and Joy JB;31628022;Yes;;2019;10;2019;6;No;Yes;1;No;CA;CA;British Columbia Centre for Excellence in HIV/AIDS;CA;4.0
Avoidable hospitalizations and access to primary care: comparisons among Italians, resident immigrants and undocumented immigrants in administrative hospital discharge records.;Allegri C and Banks H and Devillanova C;35295899;Yes;;2022;4;na;na;No;Yes;;No;IT;IT;Ministry of Health (Italy);IT;
Risk prediction model for long-term heart failure incidence after epirubicin chemotherapy for breast cancer - A real-world data-based, nationwide classification analysis.;Fogarassy G and Vathy-Fogarassy Á and Kenessey I and Kásler M and Forster T;30905520;Yes;;2019;6;2018;10;No;Yes;9;No;HU;HU;National Health Insurance Fund of Hungary, Hungarian National Cancer Registry;HU;8.0
Pulmonary Vascular Research Institute GoDeep: A meta-registry merging deep phenotyping datafrom international PH reference centers.;Majeed RW and Wilkins MR and Howard L and Hassoun PM and Anthi A and Cajigas HR and Cannon J and Chan SY and Damonte V and Elwing J and Förster K and Frantz R and Ghio S and Al Ghouleh I and Hilgendorff A and Jose A and Juaneda E and Kiely DG and Lawrie A and Orfanos SE and Pepe A and Pepke-Zaba J and Sirenko Y and Swett AJ and Torbas O and Zamanian RT and Marquardt K and Michel-Backofen A and Antoine T and Wilhelm J and Barwick S and Krieb P and Fuenderich M and Fischer P and Gall H and Ghofrani HA and Grimminger F and Tello K and Richter MJ and Seeger W;36034404;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;7;2022;6;No;Yes;;;;;;;1.0
Epidemiologic analysis of 8000 acute vertebral fractures: evolution of treatment and complications at 10-year follow-up.;Bigdon SF and Saldarriaga Y and Oswald KAC and Müller M and Deml MC and Benneker LM and M Ecker T and Albers CE;35568925;Yes;;2022;5;2022;2;No;Yes;19;No;CH;CH;Bern University Hospital;CH;3.0
Evaluation of the post-processing algorithms SimGrid and S-Enhance for paediatric intensive care patients and neonates.;Krueger PC and Ebeling K and Waginger M and Glutig K and Scheithauer M and Schlattmann P and Proquitté H and Mentzel HJ;35192022;No (excluded in title and abstract screening);No tabular data;2022;5;2020;12;No;Yes;;;;;;;17.0
Adaptation of colorectal cancer screening tailored navigation content for American Indian communities and early results using the intervention.;Menon U and Lance P and Szalacha LA and Candito D and Bobyock EP and Yellowhair M and Hatcher J;35090575;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;1;2021;5;No;Yes;;;;;;;8.0
Laboratory reporting of framingham risk score increases statin prescriptions in at-risk patients.;Hasan S and Naugler C and Decker J and Fung M and Morrin L and Campbell NRC and Anderson TJ;34197811;Yes;;2021;10;2021;4;No;Yes;9;No;CA;CA;Pharmacy Information Network;CA;6.0
Identified mental disorders in older adults in primary care: A cross-sectional database study.;McCombe G and Fogarty F and Swan D and Hannigan A and Fealy GM and Kyne L and Meagher D and Cullen W;29353511;Yes;;2018;12;na;na;No;Yes;5;No;IE;IE;Multiple;IE;
Incidence of fractures in people with intellectual disabilities over the life course: a retrospective matched cohort study.;Frighi V and Smith M and Andrews TM and Clifton L and Collins GS and Fuller A and Roast J and Holt TA;36313144;Yes;;2022;10;2022;4;Yes;Yes;5;No;GB;GB;Clinical Practice Research Datalink;GB;6.0
"The effects of patient out-of-pocket costs for insulin on medication adherence and health care utilization in patients with commercial insurance; 2007-2018.";McAdam-Marx C and Ruiz-Negron N and Sullivan JM and Tucker JM;35392659;Yes;;2022;5;na;na;No;Yes;4;No;US;US;Optum;US;
Postnatal treatment for children with fetal and neonatal alloimmune thrombocytopenia: a multicentre, retrospective, cohort study.;de Vos TW and Winkelhorst D and Árnadóttir V and van der Bom JG and Canals Surís C and Caram-Deelder C and Deschmann E and Haysom HE and Hverven HBC and Lozar Krivec J and McQuilten ZK and Muñiz-Diaz E and Nogués N and Oepkes D and Porcelijn L and van der Schoot CE and Saxonhouse M and Sola-Visner M and Tiblad E and Tiller H and Wood EM and Young V and Železnik M and de Haas M and Lopriore E;36108655;No (not retrieved);Not retrieved;2022;11;2022;4;No;Yes;;;;;;;7.0
Biomarker Testing for Patients With Advanced/Metastatic Nonsquamous NSCLC in the United States of America, 2015 to 2021.;Hess LM and Krein PM and Haldane D and Han Y and Sireci AN;35677681;Yes;;2022;6;2022;3;No;Yes;2;No;US;US;Flatiron Health;US;3.0
A Computable Phenotype Model for Classification of Men Who Have Sex With Men Within a Large Linked Database of Laboratory, Surveillance, and Administrative Healthcare Records.;Salway T and Butt ZA and Wong S and Abdia Y and Balshaw R and Rich AJ and Ablona A and Wong J and Grennan T and Yu A and Alvarez M and Rossi C and Gilbert M and Krajden M and Janjua NZ;34713035;Yes;;2020;;2020;6;No;Yes;;No;CA;CA;University of British Columbia;CA;
