Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
CHAIMELEON Project: Creation of a Pan-European Repository of Health Imaging Data for the Development of AI-Powered Cancer Management Tools.;Bonmatí LM and Miguel A and Suárez A and Aznar M and Beregi JP and Fournier L and Neri E and Laghi A and França M and Sardanelli F and Penzkofer T and Lambin P and Blanquer I and Menzel MI and Seymour K and Figueiras S and Krischak K and Martínez R and Mirsky Y and Yang G and Alberich-Bayarri Á;35280732;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Economic burden of joint analysis in psoriasis: US claims analysis.;Prince P and Skornicki M and Suruki R and Lee E and Louder A;34889582;Yes;n/a;2021;12;No;US;US;Optum;US;High-income economies
Clinical Data Prediction Model to Identify Patients With Early-Stage Pancreatic Cancer.;Chen Q and Cherry DR and Nalawade V and Qiao EM and Kumar A and Lowy AM and Simpson DR and Murphy JD;33739856;Yes;n/a;2021;2;No;US;US;Optum;US;High-income economies
The Effect of Nonsteroidal Anti-inflammatory Drugs and Selective COX-2 Inhibitors on Bone Healing.;White AE and Henry JK and Dziadosz D;34421436;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
Classification of clinically relevant intravascular volume status using point of care ultrasound and machine learning.;Wshah S and Xu B and Steinharter J and Reilly C and Morrissette K;36186002;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
Relation Classification for Bleeding Events From Electronic Health Records Using Deep Learning Systems: An Empirical Study.;Mitra A and Rawat BPS and McManus DD and Yu H;34255697;No (excluded in title and abstract screening);No tabular data;2021;;;;;;;
Herpes zoster vaccine effectiveness against herpes zoster and postherpetic neuralgia in New Zealand: a retrospective cohort study.;Mbinta JF and Wang AX and Nguyen BP and Paynter J and Awuni PMA and Pine R and Sporle AA and Simpson CR;36879782;No (excluded before screening);Outside the search period;2023;1;No;NZ;NZ;New Zeeland Ministry of Health;NZ;High-income economies
Evaluation of COVID-19 Mortality and Adverse Outcomes in US Patients With or Without Cancer.;Chavez-MacGregor M and Lei X and Zhao H and Scheet P and Giordano SH;34709356;Yes;n/a;2022;22;Yes;US;US;Optum;US;High-income economies
Listening to Mental Health Crisis Needs at Scale: Using Natural Language Processing to Understand and Evaluate a Mental Health Crisis Text Messaging Service.;Liu Z and Peach RL and Lawrance EL and Noble A and Ungless MA and Barahona M;34939068;No (excluded in title and abstract screening);No tabular data;2021;;;;;;;
A Visualization and Benchmarking Simulator for Clinical Data.;Morgen M and Begic Fazlic L and Peine A and Martin L and Schmeink A and Hallawa A and Dartmann G;36325867;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;;
Discovery of Knowledge in the Incidence of a Type of Lung Cancer for Patients through Data Mining Models.;Saleh Ibrahim Y and Muhammed Y and Al-Douri AT and Faisal MS and Mohamad AAH and Al-Husban A and Birhan M;35685154;Yes;n/a;2022;2;No;IQ;ET;Not precisely specified;IQ;Upper-middle-income economies
Training a machine learning classifier to identify ADHD based on real-world clinical data from medical records.;Mikolas P and Vahid A and Bernardoni F and Süß M and Martini J and Beste C and Bluschke A;35902654;Yes;n/a;2022;5;No;DE;DE;Technical University Dresden;DE;High-income economies
An Unsupervised Cluster Analysis of Post-COVID-19 Mental Health Outcomes and Associated Comorbidities.;Brown KA and Sarkar IN and Crowley KM and Aluthge DP and Chen ES;37128434;Yes;n/a;2022;5;Yes;US;US;Rhode Island Quality Institute;US;High-income economies
Factors Associated With COVID-19 Death in the United States: Cohort Study.;Chen UI and Xu H and Krause TM and Greenberg R and Dong X and Jiang X;35377319;Yes;n/a;2022;22;Yes;US;US;Optum;US;High-income economies
Studying patterns and predictors of HIV viral suppression using A Big Data approach: a research protocol.;Zhang J and Olatosi B and Yang X and Weissman S and Li Z and Hu J and Li X;35120435;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Ethnic inequalities in COVID-19 vaccine uptake and comparison to seasonal influenza vaccine uptake in Greater Manchester, UK: A cohort study.;Watkinson RE and Williams R and Gillibrand S and Sanders C and Sutton M;35239661;Yes;n/a;2022;22;Yes;UK;UK;NHS Greater Manchester;UK;High-income economies
Characteristics of available studies and dissemination of research using major clinical data sharing platforms.;Vazquez E and Gouraud H and Naudet F and Gross CP and Krumholz HM and Ross JS and Wallach JD;34407656;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;;
Cartilage debris and osteoarthritis risk factors influence gene expression in the synovium in end stage osteoarthritis.;Roebuck MM and Jamal J and Lane B and Wood A and Santini A and Wong PF and Bou-Gharios G and Frostick SP;35679783;No (not retrieved);Not retrieved;2022;;;;;;;
Cardiovascular disease preventive medication dispensing for almost every New Zealander 65 years and over: a preventive treatment paradox?;Wells S and Choi Y and Jackson R and Parwaiz M and Mehta S and Selak V and Harwood M and Grey C and Kerse N and Poppe K;35077560;Yes;n/a;2022;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ;High-income economies
Approaches for Enhanced Extrapolation of Long-Term Survival Outcomes Using Electronic Health Records of Patients With Cancer.;Wang X and Adamson BJ and Briggs A and Tan K and Bargo D and Ghosh S and Baxi S and Ramsey S;35094796;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
ERBB2 Copy Number as a Quantitative Biomarker for Real-World Outcomes to Anti-Human Epidermal Growth Factor Receptor 2 Therapy in Advanced Gastroesophageal Adenocarcinoma.;Zhang L and Hamdani O and Gjoerup O and Cho-Phan C and Snider J and Castellanos E and Nimeiri H and Frampton G and Venstrom JM and Oxnard G and Klempner SJ and Schrock AB;35050711;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
Death from cancer: frequent unscheduled care.;Mills SEE and Buchanan D and Donnan PT and Smith BH;35351803;Yes;n/a;2022;2;No;UK;UK;Multiple;UK;High-income economies
Antidepressant and antipsychotic treatment of Psychotic Major Depression in a British mental healthcare setting.;Jami ES and Pritchard M and Shetty H and Stewart R and Young AH and Heslin M;33961752;No (excluded before screening);Outside the search period;2023;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Shielding reduced incidence of COVID-19 in patients with inflammatory arthritis but vulnerability is associated with increased mortality.;Cooksey R and Underwood J and Brophy S and Atkinson M and Kennedy J and Choy E;35567479;Yes;n/a;2022;13;Yes;UK;UK;SAIL Databank;UK;High-income economies
Societal Cost of Ischemic Stroke in Romania: Results from a Retrospective County-Level Study.;Strilciuc S and Grad DA and Mixich V and Stan A and Buzoianu AD and Vladescu C and Vintan MA;34073732;Yes;n/a;2021;9;No;RO;RO;Iuliu Hatieganu University of Medicine and Pharmacy;RO;High-income economies
An open repository of real-time COVID-19 indicators.;Reinhart A and Brooks L and Jahja M and Rumack A and Tang J and Agrawal S and Al Saeed W and Arnold T and Basu A and Bien J and Cabrera ÁA and Chin A and Chua EJ and Clark B and Colquhoun S and DeFries N and Farrow DC and Forlizzi J and Grabman J and Gratzl S and Green A and Haff G and Han R and Harwood K and Hu AJ and Hyde R and Hyun S and Joshi A and Kim J and Kuznetsov A and La Motte-Kerr W and Lee YJ and Lee K and Lipton ZC and Liu MX and Mackey L and Mazaitis K and McDonald DJ and McGuinness P and Narasimhan B and O'Brien MP and Oliveira NL and Patil P and Perer A and Politsch CA and Rajanala S and Rucker D and Scott C and Shah NH and Shankar V and Sharpnack J and Shemetov D and Simon N and Smith BY and Srivastava V and Tan S and Tibshirani R and Tuzhilina E and Van Nortwick AK and Ventura V and Wasserman L and Weaver B and Weiss JC and Whitman S and Williams K and Rosenfeld R and Tibshirani RJ;34903654;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;;
Missing diagnoses of congenital cytomegalovirus infection in electronic health records for infants with laboratory-confirmed infection.;Campione A and Lanzieri TM and Ricotta E and Grosse SD and Kadri SS and Nussenblatt V and Prevots DR;34775876;Yes;n/a;2022;16;No;US;US;Cerner Corporation;US;High-income economies
Characterizing patients with rare mucormycosis infections using real-world data.;Zhang Y and Sung AH and Rubinstein E and Benigno M and Chambers R and Patino N and Aram JA;35164701;Yes;n/a;2022;1;No;CN;US;Optum;US;High-income economies
Artificial intelligence system for training diagnosis and differentiation with molar incisor hypomineralization (MIH) and similar pathologies.;Alevizakos V and Bekes K and Steffen R and von See C;36065023;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
Computational Approaches for Supporting Combination Therapy in the Post-Aducanumab Era in Alzheimer's Disease.;Geerts H and van der Graaf P;34966890;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;;
Elevation of C-reactive protein in adolescent bipolar disorder vs. anxiety disorders.;Whitney MS and Scott SL and Perez JA and Barnes S and McVoy MK;36306709;No (not retrieved);Not retrieved;2022;;;;;;;
DDIWAS: High-throughput electronic health record-based screening of drug-drug interactions.;Wu P and Nelson SD and Zhao J and Stone CA Jr and Feng Q and Chen Q and Larson EA and Li B and Cox NJ and Stein CM and Phillips EJ and Roden DM and Denny JC and Wei WQ;33712848;Yes;n/a;2021;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Quantifying the Risk of Drug-Induced Pancreatitis With Angiotensin-Converting Enzyme Inhibitors and Statins Using a Large Electronic Medical Record Database.;Twohig PA and de-Madaria E and Thakkar S and Dulai P and Gardner TB and Kochhar G and Sandhu DS;34714286;No (not retrieved);Not retrieved;2021;;;;;;;
One year of psychiatric presentations to a hospital emergency department during COVID-19.;Hartnett Y and Alshurafa K and McAndrew J and Daly D and Alsaffar M and Cotter D and Cannon M and MacHale S and Murphy KC and Barry H;35285434;Yes;n/a;2022;5;Yes;IE;IE;Beaumont Hospital ;IE;High-income economies
Disparities in Utilization and Outcomes With Continuous Subcutaneous Insulin Infusion in Young Adults With Type 1 Diabetes.;McKee AM and Al-Hammadi N and Hinyard LJ;33991655;No (not retrieved);Not retrieved;2021;;;;;;;
Obesity Pharmacotherapy is Effective in the Veterans Affairs Patient Population: A Local and Virtual Cohort Study.;Pendse J and Vallejo-García F and Parziale A and Callanan M and Tenner C and Alemán JO;33491308;Yes;n/a;2021;4;No;US;US;VA New York Harbor Health Care;US;High-income economies
Comparing antibiotic prescribing between clinicians in UK primary care: an analysis in a cohort study of eight different measures of antibiotic prescribing.;Van Staa T and Li Y and Gold N and Chadborn T and Welfare W and Palin V and Ashcroft DM and Bircher J;35241573;Yes;n/a;2022;1;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
A comparison of routine and case-managed pathways for recovery from musculoskeletal disorders in people in employment.;Bergman BP and Demou E and Lewsey J and Macdonald E;33896322;Yes;n/a;2022;13;No;UK;UK;NHS Scotland;UK;High-income economies
A comparison of two national frailty scoring systems.;Hollinghurst J and Housley G and Watkins A and Clegg A and Gilbert T and Conroy SP;33252680;Yes;n/a;2021;18;No;UK;UK;SAIL Databank;UK;High-income economies
Real-world use of an etanercept biosimilar including selective versus automatic substitution in inflammatory arthritis patients: a UK-based electronic health records study.;Cooksey R and Brophy S and Kennedy J and Seaborne M and Choy E;35910710;Yes;n/a;2022;13;No;UK;UK;SAIL Databank;UK;High-income economies
Using set visualisation to find and explain patterns of missing values: a case study with NHS hospital episode statistics data.;Ruddle RA and Adnan M and Hall M;36410820;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;;
Antipsychotic polypharmacy and adverse drug reactions among adults in a London mental health service, 2008-2018.;Yang JC and Thygesen JH and Werbeloff N and Hayes JF and Osborn DPJ;35485715;Yes;n/a;2022;5;No;UK;UK;Camden and Islington NHS Foundation Trust;UK;High-income economies
Using topic modelling for unsupervised annotation of electronic health records to identify an outbreak of disease in UK dogs.;Noble PM and Appleton C and Radford AD and Nenadic G;34882714;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;;
Assessment of Electronic Health Record Use Between US and Non-US Health Systems.;Holmgren AJ and Downing NL and Bates DW and Shanafelt TD and Milstein A and Sharp CD and Cutler DM and Huckman RS and Schulman KA;33315048;No (excluded in full-paper screening);"A: This is about usage of EHR systems by clinicans. Consider excluding?
Provided PDF is supplementary material only
B: Supplementary Material not available";2021;;?;?;?;?;?;
Prevalence and risk factors for delirium in critically ill patients with COVID-19 (COVID-D): a multicentre cohort study.;Pun BT and Badenes R and Heras La Calle G and Orun OM and Chen W and Raman R and Simpson BK and Wilson-Linville S and Hinojal Olmedillo B and Vallejo de la Cueva A and van der Jagt M and Navarro Casado R and Leal Sanz P and Orhun G and Ferrer Gómez C and Núñez Vázquez K and Piñeiro Otero P and Taccone FS and Gallego Curto E and Caricato A and Woien H and Lacave G and O'Neal HR Jr and Peterson SJ and Brummel NE and Girard TD and Ely EW and Pandharipande PP;33428871;Yes;n/a;2021;5;Yes;US;US;Multiple;various;
Differences in Temporal Relapse Characteristics Between Affective and Non-affective Psychotic Disorders: Longitudinal Analysis.;Immanuel SA and Schrader G and Bidargaddi N;33692704;Yes;n/a;2021;5;No;AU;AU;Multiple;AU;High-income economies
Risk Factors Associated With Pressure Injuries in Surgical Patients: A Retrospective Case-Control Study.;Kim JY and Lee HH;36417372;Yes;n/a;2022;12;No;KR;KR;Bundang Hospital;KR;High-income economies
Comparison of Titer and Signal to Noise (S/N) for Determination of Anti-drug Antibody Magnitude Using Clinical Data from an Industry Consortium.;Starcevic Manning M and Hassanein M and Partridge MA and Jawa V and Mora J and Ryman J and Barker B and Braithwaite C and Carleton K and Hay L and Hottenstein C and Kubiak RJ and Devanarayan V;35821280;Yes;n/a;2022;;No;US;US;Multiple;US;High-income economies
Integrated digital pathology at scale: A solution for clinical diagnostics and cancer research at a large academic medical center.;Schüffler PJ and Geneslaw L and Yarlagadda DVK and Hanna MG and Samboy J and Stamelos E and Vanderbilt C and Philip J and Jean MH and Corsale L and Manzo A and Paramasivam NHG and Ziegler JS and Gao J and Perin JC and Kim YS and Bhanot UK and Roehrl MHA and Ardon O and Chiang S and Giri DD and Sigel CS and Tan LK and Murray M and Virgo C and England C and Yagi Y and Sirintrapun SJ and Klimstra D and Hameed M and Reuter VE and Fuchs TJ;34260720;No (excluded in title and abstract screening);No tabular data;2021;;;;;;;
Using data visualization to detect patterns in whole-person health data.;Austin RR and Mathiason MA and Monsen KA;35717597;Yes;n/a;2022;;No;US;US;University of Minnesota;US;High-income economies
Budget constrained machine learning for early prediction of adverse outcomes for COVID-19 patients.;Nguyen S and Chan R and Cadena J and Soper B and Kiszka P and Womack L and Work M and Duggan JM and Haller ST and Hanrahan JA and Kennedy DJ and Mukundan D and Ray P;34599200;Yes;n/a;2021;22;Yes;US;US;ProMedica;US;High-income economies
Implementation of a Mandatory Influenza Vaccine Policy: A 10-Year Experience.;Kitt E and Burt S and Price SM and Satchell L and Offit PA and Sammons JS and Coffin SE;33372217;Yes;n/a;2021;1;No;US;US;Children’s Hospital of Philadelphia;US;High-income economies
Neurological and psychiatric disorders among autistic adults: a population healthcare record study.;Underwood JFG and DelPozo-Banos M and Frizzati A and Rai D and John A and Hall J;36189783;Yes;n/a;2022;5;No;UK;UK;SAIL Databank;UK;High-income economies
Childhood Factors and Dental Caries in the Permanent Dentition: Findings of an 8-Year Study Under a Nationwide School Dental Service.;Tan SHX and Teo YY and Tan MHX and Gao X;33743991;Yes;n/a;2021;11;No;SG;SG;Health Promotion Board (Singapore);SG;High-income economies
Associations with visual acuity outcomes after 12 months of treatment in 9401 eyes with neovascular AMD.;Relton SD and Chi GC and Lotery A and West RM and McKibbin M;36161843;Yes;n/a;2022;7;No;UK;UK;Multiple;UK;High-income economies
A population level study into health vulnerabilities of mothers and fathers involved in public law care proceedings in Wales, UK between 2011 and 2019.;Johnson RD and North L and Alrouh B and John A and Jones K and Akbari A and Smart J and Thompson S and Hargreaves C and Doebler S and Cusworth L and Broadhurst K and Ford DV and Griffiths LJ;35520100;Yes;n/a;2022;;No;UK;UK;SAIL Databank;UK;High-income economies
Prevalence of commonly diagnosed disorders in UK dogs under primary veterinary care: results and applications.;O'Neill DG and James H and Brodbelt DC and Church DB and Pegram C;33593363;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;;
New EHR certification requirements and their association with duplicate tests and images.;Pylypchuk Y and Johnson C;35640013;Yes;n/a;2022;;No;US;US;FAIR Health;US;High-income economies
Embedding electronic health records onto a knowledge network recognizes prodromal features of multiple sclerosis and predicts diagnosis.;Nelson CA and Bove R and Butte AJ and Baranzini SE;34915552;Yes;n/a;2022;6;No;US;US;University of California San Francisco;US;High-income economies
Comparing Clinical Characteristics of Influenza and Common Coronavirus Infections Using Electronic Health Records.;Li D and Wolk DM and Cantor MN;33011809;Yes;n/a;2021;10;Yes;US;US;Geisinger Health System;US;High-income economies
The burden associated with, and management of, difficult-to-treat depression in patients under specialist psychiatric care in the United Kingdom.;Costa T and Menzat B and Engelthaler T and Fell B and Franarin T and Roque G and Wei Y and Zhang X and McAllister-Williams RH;35506640;Yes;n/a;2022;5;No;UK;UK;Oxford Health NHS Foundation Trust, Cumbria Northumberland Tyne and Wear NHS Foundation Trust, Southern Health NHS Foundation Trust, South West London & St George’s Mental Health NHS Trust, West London NHS Trust;UK;High-income economies
Accounting for Delayed Entry in Analyses of Overall Survival in Clinico-Genomic Databases.;Backenroth D and Snider J and Shen R and Seshan V and Castellanos E and McCusker M and Feuchtbaum D and Gönen M and Sarkar S;35027431;Yes;n/a;2022;;No;US;US;Flatiron Health;US;High-income economies
Multi-institutional Experience with Patient Image Access Through Electronic Health Record Patient Portals.;Choi HH and Kotsenas AL and Chen JV and Bronsky C and Roth CJ and Kohli MD;35022926;No (excluded in title and abstract screening);Anonymous survey;2022;;;;;;;
CardioNet: a manually curated database for artificial intelligence-based research on cardiovascular diseases.;Ahn I and Na W and Kwon O and Yang DH and Park GM and Gwon H and Kang HJ and Jeong YU and Yoo J and Kim Y and Jun TJ and Kim YH;33509180;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;;
Defining renal remission in an international cohort of 248 children and adolescents with lupus nephritis.;De Mutiis C and Wenderfer SE and Orjuela A and Bagga A and Basu B and Sar T and Aggarwal A and Jain A and Yap HK and Ito S and Ohnishi A and Iwata N and Kasapcopur O and Laurent A and Mastrangelo A and Ogura M and Shima Y and Rianthavorn P and Silva CA and Trindade V and Dormi A and Tullus K;34626102;Yes;n/a;2022;13;No;IT;UK;Multiple;US, IN, TH, SG, JP, BR, FR, IT, TR, UK;
Pediatric sepsis phenotypes for enhanced therapeutics: An application of clustering to electronic health records.;Koutroulis I and Velez T and Wang T and Yohannes S and Galarraga JE and Morales JA and Freishtat RJ and Chamberlain JM;35112102;Yes;n/a;2022;16;No;US;US;MedStar Washington Hospital Center;US;High-income economies
Predicting healthcare-seeking behavior based on stated readiness to act: development and validation of a prediction model.;Green EP and Pradheep S and Heinzelman J and Nyanchoka A and Achieng D and Goyal S and Cusson L and Kurz AS and Bellows B;34283889;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
The Challenges of Predicting Drug-Induced QTc Prolongation in Humans.;Valentin JP and Hoffmann P and Ortemann-Renon C and Koerner J and Pierson J and Gintant G and Willard J and Garnett C and Skinner M and Vargas HM and Wisialowski T and Pugsley MK;35148401;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2022;;;;;;;
Accessing HIV care may lead to earlier ascertainment of comorbidities in health care clients in Khayelitsha, Cape Town.;Osei-Yeboah R and Tamuhla T and Ngwenya O and Tiffin N;36962101;Yes;n/a;2021;1;No;ZA;ZA;Provincial Health Data Centre;ZA;Upper-middle-income economies
Quality improvement in juvenile idiopathic arthritis: a mixed-methods implementation pilot of the CAPTURE-JIA dataset.;McErlane F and Anderson C and Lawson-Tovey S and Lee B and Lee C and Lunt L and McDonagh JE and Smith AD and Smith N and Cleary G;35717328;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Susceptibility to COVID-19 Diagnosis in People with Down Syndrome Compared to the General Population: Matched-Cohort Study Using Primary Care Electronic Records in the UK.;Baksh RA and Strydom A and Pape SE and Chan LF and Gulliford MC;35386043;Yes;n/a;2022;17;Yes;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Early experience with an opt-in research register - Scottish Health Research Register (SHARE): a multi-method evaluation of participant recruitment performance.;Shi W and Vasishta S and Dow L and Cavellini D and Palmer C and McKinstry B and Sullivan F;34930144;No (excluded in title and abstract screening);No medical research (focus on data provision);2021;;;;;;;
Generating real-world data from health records: design of a patient-centric study in multiple sclerosis using a commercial health records platform.;Hanson G and Chitnis T and Williams MJ and Gan RW and Julian L and Mace K and Chia J and Wormser D and Martinec M and Astorino T and Leviner N and Maung P and Jan A and Belendiuk K;35155999;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
Genome-Wide Association Study Identifies Genetic Risk Factors for Spastic Cerebral Palsy.;Hale AT and Akinnusotu O and He J and Wang J and Hibshman N and Shannon CN and Naftel RP;34098570;Yes;n/a;2021;6;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Modeling the Ex Post Real Option Value in Metastatic Melanoma Using Real-World Data.;Lee W and Li M and Wong WB and To TM and Garrison LP and Veenstra DL;34838272;Yes;n/a;2021;2;No;US;US;Flatiron Health;US;High-income economies
A likelihood-based convolution approach to estimate major health events in longitudinal health records data: an external validation study.;Pruinelli L and Zhou J and Stai B and Schold JD and Pruett T and Ma S and Simon G;34151985;Yes;n/a;2021;;No;US;US;Optum;US;High-income economies
Association between mirtazapine use and serious self-harm in people with depression: an active comparator cohort study using UK electronic health records.;Joseph RM and Jack RH and Morriss R and Knaggs RD and Butler D and Hollis C and Hippisley-Cox J and Coupland C;35246454;Yes;n/a;2022;5;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Inequalities in coverage of COVID-19 vaccination: A population register based cross-sectional study in Wales, UK.;Perry M and Akbari A and Cottrell S and Gravenor MB and Roberts R and Lyons RA and Bedston S and Torabi F and Griffiths L;34544601;Yes;n/a;2021;22;Yes;UK;UK;SAIL Databank;UK;High-income economies
Is it possible to implement a rare disease case-finding tool in primary care? A UK-based pilot study.;Buendia O and Shankar S and Mahon H and Toal C and Menzies L and Ravichandran P and Roper J and Takhar J and Benfredj R and Evans W;35172857;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;;
COVID-19 infection risk amongst 14,104 vaccinated care home residents: a national observational longitudinal cohort study in Wales, UK, December 2020-March 2021.;Hollinghurst J and North L and Perry M and Akbari A and Gravenor MB and Lyons RA and Fry R;34850818;Yes;n/a;2022;22;Yes;UK;UK;SAIL Databank;UK;High-income economies
Identifying Dysphagia and Demographic Associations in Older Adults Using Electronic Health Records: A National Longitudinal Observational Study in Wales (United Kingdom) 2008-2018.;Hollinghurst J and Smithard DG;35212847;Yes;n/a;2022;18;No;UK;UK;SAIL Databank;UK;High-income economies
Epilepsy mortality in Wales during COVID-19.;Daniels H and Lacey AS and Mikadze D and Akbari A and Fonferko-Shadrach B and Hollinghurst J and Lyons RA and Rees MI and Sawhney IM and Powell RH and Kerr MP and Pickrell WO;34864250;Yes;n/a;2022;6;Yes;UK;UK;SAIL Databank;UK;High-income economies
Social determinants of pertussis and influenza vaccine uptake in pregnancy: a national cohort study in England using electronic health records.;Walker JL and Rentsch CT and McDonald HI and Bak J and Minassian C and Amirthalingam G and Edelstein M and Thomas S;34155074;Yes;n/a;2021;10;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Health condition at first fit note and number of fit notes: a longitudinal study of primary care records in south London.;Dorrington S and Carr E and Polling C and Stevelink S and Ashworth M and Roberts E and Broadbent M and Hatch S and Madan I and Hotopf M;33771823;Yes;n/a;2021;;No;UK;UK;Lambeth Together;UK;High-income economies
Associations of weight loss with obesity-related comorbidities in a large integrated health system.;Mariam A and Miller-Atkins G and Pantalone KM and Iyer N and Misra-Hebert AD and Milinovich A and Bauman J and Mocarski M and Ramasamy A and Smolarz BG and Hobbs TM and Zimmerman RS and Burguera B and Kattan MW and Rotroff DM;34472680;Yes;n/a;2021;4;No;US;US;Cleveland Clinic;US;High-income economies
Treatment Sequencing Patterns and Associated Direct Medical Costs of Metastatic Breast Cancer Care in the United States, 2011 to 2021.;Jaber Chehayeb R and Hood A and Wang X and Miksad R and Schellhorn Mougalian S and Lustberg MB and Wang SY and Greenup RA and Pusztai L and Kunst N;36445704;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
An observational study of international normalized ratio control according to NICE criteria in patients with non-valvular atrial fibrillation: the SAIL Warfarin Out of Range Descriptors Study (SWORDS).;Harris DE and Thayer D and Wang T and Brooks C and Murley G and Gravenor M and Hill NR and Lister S and Halcox J;31774502;Yes;n/a;2021;9;No;UK;UK;SAIL Databank;UK;High-income economies
Diabetic retinopathy as a predictor of cardiovascular morbidity and mortality in subjects with type 2 diabetes.;Barrot J and Real J and Vlacho B and Romero-Aroca P and Simó R and Mauricio D and Mata-Cases M and Castelblanco E and Mundet-Tuduri X and Franch-Nadal J;36052329;Yes;n/a;2022;9;No;ES;ES;SIDIAP;ES;High-income economies
Preoperative Computed Tomography Morphological Features Indicative of Incisional Hernia Formation After Abdominal Surgery.;McAuliffe PB and Desai AA and Talwar AA and Broach RB and Hsu JY and Serletti JM and Liu T and Tong Y and Udupa JK and Torigian DA and Fischer JP;35837959;No (excluded in title and abstract screening);No tabular data;2022;;;;;;;
[University emergency departments in the corona pandemic-Results from the ReCovER registry].;Suárez V and Koehler FC and Hackl MJ and Möckel M and Slagman A and Pudasaini S and Risse J and Schunk D and Blaschke S and Kümpers P and Burst V;34468772;No (excluded before screening);not English;2022;;;;;;;
Avoidable hospitalizations and access to primary care: comparisons among Italians, resident immigrants and undocumented immigrants in administrative hospital discharge records.;Allegri C and Banks H and Devillanova C;35295899;Yes;n/a;2022;;No;IT;IT;Ministry of Health (Italy);IT;High-income economies
Intra-database validation of case-identifying algorithms using reconstituted electronic health records from healthcare claims data.;Thurin NH and Bosco-Levy P and Blin P and Rouyer M and Jové J and Lamarque S and Lignot S and Lassalle R and Abouelfath A and Bignon E and Diez P and Gross-Goupil M and Soulié M and Roumiguié M and Le Moulec S and Debouverie M and Brochet B and Guillemin F and Louapre C and Maillart E and Heinzlef O and Moore N and Droz-Perroteau C;33933001;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;;
The Safety of Delayed Versus Immediate Antibiotic Prescribing for Upper Respiratory Tract Infections.;van Staa TP and Palin V and Brown B and Welfare W and Li Y and Ashcroft DM;32594104;Yes;n/a;2021;10;No;UK;UK;SAIL Databank, Clinical Practice Research Datalink;UK;High-income economies
Adaptation of colorectal cancer screening tailored navigation content for American Indian communities and early results using the intervention.;Menon U and Lance P and Szalacha LA and Candito D and Bobyock EP and Yellowhair M and Hatcher J;35090575;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;;
Molecular medicine tumor board: whole-genome sequencing to inform on personalized medicine for a man with advanced prostate cancer.;Armstrong AJ and Li X and Tucker M and Li S and Mu XJ and Eng KW and Sboner A and Rubin M and Gerstein M;33568750;Yes;n/a;2021;2;No;US;US;Not precisely specified;US;High-income economies
Biomarker Testing for Patients With Advanced/Metastatic Nonsquamous NSCLC in the United States of America, 2015 to 2021.;Hess LM and Krein PM and Haldane D and Han Y and Sireci AN;35677681;Yes;n/a;2022;2;No;US;US;Flatiron Health;US;High-income economies
"The effects of patient out-of-pocket costs for insulin on medication adherence and health care utilization in patients with commercial insurance; 2007-2018.";McAdam-Marx C and Ruiz-Negron N and Sullivan JM and Tucker JM;35392659;Yes;n/a;2022;4;No;US;US;Optum;US;High-income economies
